Name,Address,City,State,Zip,County,Phone,Administrator,Licensee,Facility Number,Type,Status,Capacity,License Date,GPO
"LA COSTA GLEN CARLSBAD","1950 SILVERLEAF CIRCLE","CARLSBAD",CA,92009,"SAN DIEGO","(760) 704-1000","KEARNAGHAN, KRISTEN","LA COSTA GLEN CARLSBAD CCRC LLC/LIFE CARE SVCS LLC",374600637,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,1233,2/11/2003,"None"
"VI AT PALO ALTO","620 SAND HILL ROAD","PALO ALTO",CA,94304,"SANTA CLARA","(650) 853-5000","JOHN KOSELAK","CC-PALO ALTO,INC. & CLASSIC RES.MGMT. LTD. PARTNER",435200930,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,876,6/2/2005,"Premier, Vizient"
"REATA GLEN ORANGE COUNTY CCRC LLC","2 LAS ESTRELLAS LOOP","RANCHO MISSION VIEJO",CA,92694,"ORANGE","(949) 545-2250","KELLY CONK","REAT GLEN ORANGE COUNTY CCRC",306005546,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,840,6/19/2019,"None"
"STONERIDGE CREEK PLEASANTON","3300 STONERIDGE CREEK WAY","PLEASANTON",CA,94588,"ALAMEDA","(925) 201-4000","EZEKIEL GRIFFIN","STONERIDGE CREEK PLEASANTON CCRC LLC",19200474,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,828,9/19/2013,"Premier"
"FORUM AT RANCHO SAN ANTONIO, THE","23500 CRISTO REY DRIVE","CUPERTINO",CA,95014,"SANTA CLARA","(650) 944-0100","ROSALIE B ZBASNIK-HULOG","RSARHC, RSARS INC. & LIFE CARE SERVICES LLC",435200344,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,817,9/24/1996,"Premier"
"VI AT LA JOLLA VILLAGE","8515 COSTA VERDE BLVD","SAN DIEGO",CA,92122,"SAN DIEGO","(858) 646-7700","BOUDREAU, STEPHANIE","CCW LA JOLLA LLC, CC-LA JOLLA INC, CLASSIC RES MGM",374600675,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,783,7/16/1998,"Premier, Vizient"
"PARADISE VALLEY ESTATES","2600 ESTATES DRIVE","FAIRFIELD",CA,94533,"SOLANO","(707) 432-1100","YEE, KELLY","NORTHERN CALIFORNIA RETIRED OFFICERS COMMUNITY",486800368,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,743,12/3/1997,"Premier, Vizient"
"MORNINGSIDE OF FULLERTON","800 MORNINGSIDE DR.","FULLERTON",CA,92835,"ORANGE","(714) 256-8000","RICHARD ALLEN NORDSIEK","MORNINGSIDE SP ASSOCIATES INC, GP OF CORECARE III",300613273,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,712,11/9/1993,"Vizient"
"GLEN AT SCRIPPS RANCH, THE","9800 GLEN CENTER DRIVE","SAN DIEGO",CA,92131,"SAN DIEGO","(858) 444-8500","KLINE, MEEGAN","GLEN AT SCRIPPS RANCH CCRC LLC",374603600,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,684,12/23/2019,"None"
"SPRING LAKE VILLAGE","5555 MONTGOMERY DRIVE","SANTA ROSA",CA,95409,"SONOMA","(707) 538-8400","KECK, WILLIAM","FRONT PORCH COMMUNITIES AND SERVICES",490107656,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,679,8/7/1993,"Premier"
"TERRACES AT SAN JOAQUIN GARDENS, THE","5555 NORTH FRESNO STREET","FRESNO",CA,93710,"FRESNO","(559) 439-4770","CASE, ALEXIS","HUMANGOOD & HUMANGOOD NORCAL & HUMANGOOD FRESNO",100400544,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,652,2/9/1994,"Premier"
"CASA DE LAS CAMPANAS","18655 WEST BERNARDO DRIVE","SAN DIEGO",CA,92127,"SAN DIEGO","(858) 451-9152","KIMBERLY FINCH-DOMINY","CASA DE LAS CAMPANAS/LIFE CARE SERVICE, LLC",374600488,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,582,1/1/1997,"Premier, Vizient"
